
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:61184        Puget-89256:61185      ESTABLISHED
  TCP    127.0.0.1:61185        Puget-89256:61184      ESTABLISHED
  TCP    127.0.0.1:61186        Puget-89256:61133      ESTABLISHED
  TCP    127.0.0.1:61187        Puget-89256:61188      ESTABLISHED
  TCP    127.0.0.1:61188        Puget-89256:61187      ESTABLISHED
  TCP    127.0.0.1:61189        Puget-89256:61130      ESTABLISHED
  TCP    127.0.0.1:61190        Puget-89256:61191      ESTABLISHED
  TCP    127.0.0.1:61191        Puget-89256:61190      ESTABLISHED
  TCP    127.0.0.1:61192        Puget-89256:61131      ESTABLISHED
  TCP    127.0.0.1:61208        Puget-89256:61209      ESTABLISHED
  TCP    127.0.0.1:61209        Puget-89256:61208      ESTABLISHED
  TCP    127.0.0.1:61336        Puget-89256:61337      ESTABLISHED
  TCP    127.0.0.1:61337        Puget-89256:61336      ESTABLISHED
  TCP    127.0.0.1:61338        Puget-89256:61339      ESTABLISHED
  TCP    127.0.0.1:61339        Puget-89256:61338      ESTABLISHED
  TCP    127.0.0.1:61340        Puget-89256:61341      ESTABLISHED
  TCP    127.0.0.1:61341        Puget-89256:61340      ESTABLISHED
  TCP    127.0.0.1:61342        Puget-89256:61343      ESTABLISHED
  TCP    127.0.0.1:61343        Puget-89256:61342      ESTABLISHED
  TCP    127.0.0.1:61344        Puget-89256:61345      ESTABLISHED
  TCP    127.0.0.1:61345        Puget-89256:61344      ESTABLISHED
  TCP    127.0.0.1:63081        Puget-89256:63082      ESTABLISHED
  TCP    127.0.0.1:63082        Puget-89256:63081      ESTABLISHED
  TCP    127.0.0.1:63130        Puget-89256:63131      ESTABLISHED
  TCP    127.0.0.1:63131        Puget-89256:63130      ESTABLISHED
  TCP    127.0.0.1:63132        Puget-89256:0          LISTENING
  TCP    127.0.0.1:63132        Puget-89256:63186      ESTABLISHED
  TCP    127.0.0.1:63133        Puget-89256:0          LISTENING
  TCP    127.0.0.1:63133        Puget-89256:63146      ESTABLISHED
  TCP    127.0.0.1:63133        Puget-89256:63192      ESTABLISHED
  TCP    127.0.0.1:63134        Puget-89256:0          LISTENING
  TCP    127.0.0.1:63134        Puget-89256:63195      ESTABLISHED
  TCP    127.0.0.1:63135        Puget-89256:0          LISTENING
  TCP    127.0.0.1:63136        Puget-89256:0          LISTENING
